Ticker,Weight
AAPL,0.05481740142742285
MSFT,0.05481740142742285
JPM,0.05481740142742285
KO,0.012730260837092462
PG,0.017313394873975062
MMM,0.05481740142742285
AXP,0.05481740142742285
BA,0.007766504964899721
CAT,0.05481740142742285
CSCO,0.05481740142742285
DIS,0.05481740142742285
GS,0.05481740142742285
HD,0.05481740142742285
HON,0.05481740142742285
IBM,0.05481740142742285
INTC,0.0058845044799989595
JNJ,0.0022041896717044118
MCD,0.05481740142742285
MRK,0.05481740142742285
NKE,0.010039789174924553
TRV,0.05481740142742285
UNH,0.00692342496372047
V,0.05481740142742285
VZ,0.005242106767495871
WMT,0.05481740142742285
